# 上市公司名称

# 深圳证券交易所
# http://www.szse.cn/main/marketdata/jypz/colist/

平安银行 ping'an'yin'xing
万科 wan'ke
国农科技 guo'nong'ke'ji
世纪星源 shi'ji'xing'yuan
深振业 shen'zhen'ye
全新好 quan'xin'hao
神州高铁 shen'zhou'gao'tie
中国宝安 zhong'guo'bao'an
美丽生态 mei'li'sheng'tai
深物业 shen'wu'ye
南玻 nan'bo
沙河股份 sha'he'gu'fen
深康佳 shen'kang'jia
深中华 shen'zhong'hua
神州长城 shen'zhou'chang'cheng
深深宝 shen'shen'bao
深华发 shen'hua'fa
深科技 shen'ke'ji
深赤湾 shen'chi'wan
深天地 shen'tian'di
特力 te'li
飞亚达 fei'ya'da
深圳能源 shen'zhen'neng'yuan
国药一致 guo'yao'yi'zhi
深深房 shen'shen'fang
富奥股份 fu'ao'gu'fen
中粮地产 zhong'liang'di'chan
深桑达 shen'sang'da
神州数码 shen'zhou'shu'ma
中国天楹 zhong'guo'tian'ying
华联控股 hua'lian'kong'gu
深南电 shen'nan'dian
深大通 shen'da'tong
中集集团 zhong'ji'ji'tuan
东旭蓝天 dong'xu'lan'tian
中洲控股 zhong'zhou'kong'gu
中航地产 zhong'hang'di'chan
深纺织 shen'fang'zhi
泛海控股 fan'hai'kong'gu
康达尔 kang'da'er
德赛电池 de'sai'dian'chi
深天马 shen'tian'ma
深基地 shen'ji'di
建车 jian'che
方大集团 fang'da'ji'tuan
皇庭国际 huang'ting'guo'ji
深赛格 shen'sai'ge
华锦股份 hua'jin'gu'fen
中金岭南 zhong'jin'ling'nan
农产品 nong'chan'pin
深圳华强 shen'zhen'hua'qiang
中兴通讯 zhong'xing'tong'xun
北方国际 bei'fang'guo'ji
中国长城 zhong'guo'chang'cheng
华控赛格 hua'kong'sai'ge
华侨城 hua'qiao'cheng
特发信息 te'fa'xin'xi
海王生物 hai'wang'sheng'wu
盐田港 yan'tian'gang
深圳机场 shen'zhen'ji'chang
天健集团 tian'jian'ji'tuan
广聚能源 guang'ju'neng'yuan
中信海直 zhong'xin'hai'zhi
宜华健康 yi'hua'jian'kang
中成股份 zhong'cheng'gu'fen
山航 shan'hang
丰原药业 feng'yuan'yao'ye
川化股份 chuan'hua'gu'fen
华数传媒 hua'shu'chuan'mei
