# 常用词库汇总
# 适用于 libpinyin，可直接导入。
# 本词库以 GNU 公共许可协议授权。
# Contributors:
#   Kevin Suo <suokunlong@126.com>

# Last Updated: 2018-01-25

编程 bian'cheng
程序员 cheng'xu'yuan
程序猿 cheng'xu'yuan
长期股权投资 chang'qi'gu'quan'tou'zi
长投 chang'tou
短期投资 duan'qi'tou'zi
短投 duan'tou
勾稽 gou'ji
机动车摇号 ji'dong'che'yao'hao
交警队 jiao'jing'dui
简拼 jian'pin
减项 jian'xiang
加项 jia'xiang
复利 fu'li
现值 xian'zhi
净现值 jing'xian'zhi
复利现值 fu'li'xian'zhi
终值 zhong'zhi
复利现值 fu'li'xian'zhi
年金终值 nian'jin'zhong'zhi
年金现值 nian'jin'xian'zhi
永续年金 yong'xu'nian'jin
后付年金 hou'fu'nian'jin
先付年金 xian'fu'nian'jin
除数 chu'shu
被除数 bei'chu'shu
全拼 quan'pin
权数 quan'shu
试试 shi'shi
试一下 shi'yi'xia
试了一下 shi'liao'yi'xia
试算 shi'suan
试算平衡 shi'suan'ping'heng
替代国 ti'dai'guo
替代价 ti'dai'jia
箱单 xiang'dan
仓单 cang'dan
食用级 shi'yong'ji
食品级 shi'pin'ji
饲料级 si'liao'ji
文本编辑器 wen'ben'bian'ji'qi
问询函 wen'xun'han
征信函 zheng'xin'han
终裁 zhong'cai
总帐 zong'zhang
明细帐 ming'xi'zhang
多栏 duo'lan
单栏 dan'lan
三栏 san'lan
仓库帐 cang'ku'zhang
库存帐 ku'cun'zhang
收发存 shou'fa'cun
双胶纸 shuang'jiao'zhi
铜板纸 tong'ban'zhi
文化纸 wen'hua'zhi
纸机 zhi'ji
环氧漆 huan'yang'qi
平张 ping'zhang
小裁 xiao'cai
小裁纸 xiao'cai'zhi
产品清单 chan'pin'qing'dan
木浆 mu'jiang
长纤 chang'xian
长纤浆 chang'xian'jiang
短纤 duan'xian
短纤浆 duan'xian'jiang
纤维 xian'wei
恐袭 kong'xi
作证言 zuo'zheng'yan
突发性耳聋 tu'fa'xing'er'long
全聋 quan'long
实症 shi'zheng
实症型 shi'zheng'xing
虚性 xu'xing
虚型 xu'xing
原发型 yuan'fa'xing
糖皮质 tang'pi'zhi
抗凝药物 kang'ning'yao'wu
混合氧 hun'he'yang
高压氧 gao'ya'yang
感冒灵 gan'mao'ling
九九九 jiu'jiu'jiu
益气聪明丸 yi'qi'cong'ming'wan
苏氏 su'shi
苏氏牛肉面 su'shi'niu'rou'mian
西部马华 xi'bu'ma'hua
食府 shi'fu
马华食府 ma'hua'shi'fu
艾莉娅 ai'li'ya
床边故事 chuang'bian'gu'shi
活血化於 huo'xue'hua'yu
网咖 wang'ka
网城 wang'cheng
台球城 tai'qiu'cheng
捉杆 zhuo'gan
散打冠军 san'da'guan'jun
纯文本 chun'wen'ben
无标题 wu'biao'ti

淀粉乳 dian'fen'ru
理论胶 li'lun'jiao
黄原胶 huang'yuan'jiao
卡车胎 ka'che'tai
浮法玻璃 fu'fa'bo'li
不完善粒 bu'wan'shan'li
虫蚀 chong'shi
虫蚀粒 chong'shi'li
病斑粒 bing'ban'li
破碎粒 po'sui'li
生芽 sheng'ya
生芽粒 sheng'ya'li
生霉 sheng'mei
生霉粒 sheng'mei'li
热损伤粒 re'sun'shang'li
筛下物 shai'xia'wu
黄玉米 huang'yu'mi
白玉米 bai'yu'mi
混合玉米 hun'he'yu'mi
唛头 ma'tou
槽罐车 cao'guan'che

优酷 you'ku
爱奇异 ai'qi'yi

污水管件 wu'shui'guan'jian
铸铁污水管配件 zhu'tie'wu'shui'guan'pei'jian
铸铁污水管 zhu'tie'wu'shui'guan
直管 zhi'guan
管件 guan'jian
石油管 shi'you'guan
排水管 pai'shui'guan
给水管 gei'shui'guan


# 企业名称
清水源 qing'shui'yuan
无锡尚徳 wu'xi'shang'de
顺风科技 shun'feng'ke'ji
武进水稳 wu'jin'shui'wen
南通联磷 nan'tong'lian'lin
泫氏 xuan'shi
泫氏实业 xuan'shi'shi'ye
泫氏铸管 xuan'shi'zhu'guan
泫氏铸业 xuan'shi'zhu'ye
泫氏家居 xuan'shi'jia'ju
亚太纸业 ya'tai'zhi'ye
纸业 zhi'ye
罗森助剂 luo'sen'zhu'ji



